"Country or Area","Year","Unit","Value","Value Footnotes"
"Afghanistan","2013","Mil. USD","20.8026725655727",""
"Afghanistan","2013","Thousand hectolitres","48000",""
"Afghanistan","2012","Mil. USD","23.565731564607",""
"Afghanistan","2012","Thousand hectolitres","50000",""
"Afghanistan","2011","Mil. USD","23.6164840717428",""
"Afghanistan","2011","Thousand hectolitres","46000",""
"Afghanistan","2010","Mil. USD","22.7202639222577",""
"Afghanistan","2010","Thousand hectolitres","44000",""
"Afghanistan","2009","Mil. USD","13.8553417385534",""
"Afghanistan","2009","Thousand hectolitres","29000",""
"Afghanistan","2008","Mil. USD","13.2776086828239",""
"Afghanistan","2008","Thousand hectolitres","27800",""
"Afghanistan","2007","Mil. USD","12.7697004338768",""
"Afghanistan","2007","Thousand hectolitres","26600",""
"Afghanistan","2006","Mil. USD","9.13364002578718",""
"Afghanistan","2006","Thousand hectolitres","19000",""
"Afghanistan","2005","Mil. USD","1.93960563069535",""
"Afghanistan","2005","Thousand hectolitres","4000",""
"Afghanistan","2004","Mil. USD","0.60611998301819",""
"Afghanistan","2004","Thousand hectolitres","1200",""
"Afghanistan","2003","Mil. USD","0.246089466204827",""
"Afghanistan","2003","Thousand hectolitres","500",""
"Afghanistan","2002","Thousand hectolitres","500",""
"Afghanistan","2001","Thousand hectolitres","300",""
"Afghanistan","2000","Thousand hectolitres","50",""
"Albania","2013","Mil. USD","38.9651906049196",""
"Albania","2013","Thousand hectolitres","542.5",""
"Albania","2012","Mil. USD","49.3924061095158",""
"Albania","2012","Thousand hectolitres","624.9",""
"Albania","2011","Mil. USD","40.8365300052085",""
"Albania","2011","Thousand hectolitres","544.5",""
"Albania","2010","Mil. USD","37.6162573384655",""
"Albania","2010","Thousand hectolitres","534.2",""
"Albania","2009","Mil. USD","46.6054709060473",""
"Albania","2009","Thousand hectolitres","501.6",""
"Albania","2008","Mil. USD","63.7073153548178",""
"Albania","2008","Thousand hectolitres","843.2",""
"Albania","2007","Mil. USD","46.1561120487569",""
"Albania","2007","Thousand hectolitres","692.9",""
"Albania","2006","Mil. USD","41.9771482093706",""
"Albania","2006","Thousand hectolitres","723",""
"Albania","2005","Mil. USD","30.6938238611005",""
"Albania","2005","Thousand hectolitres","608",""
"Albania","2004","Mil. USD","33.4957996219428",""
"Albania","2004","Thousand hectolitres","661.1",""
"Algeria","2013","Thousand hectolitres","28.56",""
"Algeria","2012","Thousand hectolitres","28.67",""
"Algeria","2011","Thousand hectolitres","28.56",""
"Algeria","2010","Thousand hectolitres","28.56",""
"Algeria","2009","Thousand hectolitres","31.6",""
"Algeria","2008","Thousand hectolitres","189",""
"Algeria","2007","Thousand hectolitres","252.3",""
"Algeria","2006","Thousand hectolitres","204.9",""
"Algeria","2005","Thousand hectolitres","102",""
"Algeria","2004","Thousand hectolitres","177.73",""
"Algeria","2003","Thousand hectolitres","169",""
"Algeria","2002","Thousand hectolitres","184.01",""
"Algeria","2001","Thousand hectolitres","229.06",""
"Algeria","2000","Thousand hectolitres","200.19",""
"Algeria","1999","Thousand hectolitres","315.4",""
"Algeria","1998","Thousand hectolitres","375.3",""
"Algeria","1997","Thousand hectolitres","599.1",""
"Algeria","1996","Thousand hectolitres","621.1",""
"Algeria","1995","Thousand hectolitres","755.1",""
"Angola","1999","Thousand hectolitres","41","1"
"Angola","1998","Thousand hectolitres","33","1"
"Angola","1997","Thousand hectolitres","34","1"
"Angola","1996","Thousand hectolitres","16","1"
"Angola","1995","Thousand hectolitres","13","1"
"Argentina","2009","Thousand hectolitres","36891",""
"Argentina","2008","Thousand hectolitres","39729",""
"Argentina","2007","Thousand hectolitres","38066",""
"Argentina","2006","Thousand hectolitres","33702",""
"Argentina","2005","Thousand hectolitres","31265",""
"Argentina","2004","Thousand hectolitres","28859",""
"Argentina","2003","Thousand hectolitres","25910",""
"Argentina","2002","Thousand hectolitres","23183",""
"Argentina","2001","Thousand hectolitres","27037",""
"Argentina","2000","Thousand hectolitres","25971",""
"Argentina","1999","Thousand hectolitres","25960",""
"Argentina","1998","Thousand hectolitres","25240",""
"Argentina","1997","Thousand hectolitres","23109",""
"Argentina","1996","Thousand hectolitres","20665",""
"Argentina","1995","Thousand hectolitres","20025",""
"Armenia","2013","Thousand hectolitres","617",""
"Armenia","2012","Thousand hectolitres","453",""
"Armenia","2011","Thousand hectolitres","457",""
"Armenia","2010","Thousand hectolitres","382",""
"Armenia","2009","Thousand hectolitres","376",""
"Armenia","2008","Thousand hectolitres","442",""
"Armenia","2007","Thousand hectolitres","374",""
"Armenia","2006","Thousand hectolitres","357",""
"Armenia","2005","Thousand hectolitres","324",""
"Armenia","2004","Thousand hectolitres","362",""
"Armenia","2003","Thousand hectolitres","341",""
"Armenia","2002","Thousand hectolitres","268",""
"Armenia","2001","Thousand hectolitres","274",""
"Armenia","2000","Thousand hectolitres","217",""
"Armenia","1999","Thousand hectolitres","223",""
"Armenia","1998","Thousand hectolitres","241",""
"Armenia","1997","Thousand hectolitres","164",""
"Armenia","1996","Thousand hectolitres","6",""
"Armenia","1995","Thousand hectolitres","12",""
"Australia","2000","Thousand hectolitres","24875","2,3"
"Australia","1999","Thousand hectolitres","25010","2,3"
"Australia","1998","Thousand hectolitres","23796","2,3"
"Australia","1997","Thousand hectolitres","22200","2,3"
"Australia","1996","Thousand hectolitres","22510","2,3"
"Austria","2003","Thousand hectolitres","17307",""
"Austria","2002","Thousand hectolitres","15696",""
"Austria","2001","Thousand hectolitres","15243",""
"Austria","2000","Thousand hectolitres","14007",""
"Austria","1999","Thousand hectolitres","12294",""
"Austria","1998","Thousand hectolitres","11257",""
"Austria","1997","Thousand hectolitres","10460",""
"Austria","1996","Thousand hectolitres","10175",""
"Austria","1995","Thousand hectolitres","10421",""
"Azerbaijan","2013","Mil. USD","116.373766663524",""
"Azerbaijan","2013","Thousand hectolitres","2683.1",""
"Azerbaijan","2012","Mil. USD","98.2631647419433",""
"Azerbaijan","2012","Thousand hectolitres","2562.6",""
"Azerbaijan","2011","Mil. USD","77.245855322533",""
"Azerbaijan","2011","Thousand hectolitres","2136.4",""
"Azerbaijan","2010","Mil. USD","79.2379370311729",""
"Azerbaijan","2010","Thousand hectolitres","2026.2",""
"Azerbaijan","2009","Mil. USD","75.0202168909532",""
"Azerbaijan","2009","Thousand hectolitres","1877.2",""
"Azerbaijan","2008","Mil. USD","77.5297980227335",""
"Azerbaijan","2008","Thousand hectolitres","2235.4",""
"Azerbaijan","2007","Mil. USD","68.2885143577746",""
"Azerbaijan","2007","Thousand hectolitres","2181.6",""
"Azerbaijan","2006","Mil. USD","35.3687132392033",""
"Azerbaijan","2006","Thousand hectolitres","1899.4",""
"Azerbaijan","2005","Mil. USD","43.4726962908588",""
"Azerbaijan","2005","Thousand hectolitres","1336.1",""
"Azerbaijan","2004","Mil. USD","26.4578396868613",""
"Azerbaijan","2004","Thousand hectolitres","1010.1",""
"Azerbaijan","2003","Mil. USD","19.6508462082012",""
"Azerbaijan","2003","Thousand hectolitres","705.2",""
"Azerbaijan","2002","Mil. USD","13.8865435107411",""
"Azerbaijan","2002","Thousand hectolitres","563.8",""
"Azerbaijan","2001","Mil. USD","11.2743606721667",""
"Azerbaijan","2001","Thousand hectolitres","442.3",""
"Azerbaijan","2000","Mil. USD","13.6338631635089",""
"Azerbaijan","2000","Thousand hectolitres","478.2",""
"Azerbaijan","1999","Thousand hectolitres","326",""
"Azerbaijan","1998","Thousand hectolitres","569",""
"Azerbaijan","1997","Thousand hectolitres","495",""
"Azerbaijan","1996","Thousand hectolitres","65",""
"Azerbaijan","1995","Thousand hectolitres","13",""
"Bangladesh","2006","Mil. USD","70.5408663552219","3"
"Bangladesh","2006","Thousand units","34436","3"
"Bangladesh","2005","Mil. USD","62.5263310894761","3"
"Bangladesh","2005","Thousand units","284904","3"
"Bangladesh","2004","Mil. USD","66.5345509827811","3"
"Bangladesh","2004","Thousand units","269976","3"
"Bangladesh","2003","Mil. USD","34.2944218095121","3"
"Bangladesh","2003","Thousand units","253860","3"
"Bangladesh","2002","Mil. USD","28.5709646213378","3"
"Bangladesh","2002","Thousand units","238476","3"
"Bangladesh","2001","Mil. USD","30.5857006331382","3"
"Bangladesh","2001","Thousand units","204180","3"
"Barbados","1995","Thousand hectolitres","283",""
"Belarus","2013","Thousand hectolitres","4791",""
"Belarus","2012","Thousand hectolitres","4326",""
"Belarus","2011","Thousand hectolitres","4614",""
"Belarus","2010","Thousand hectolitres","3904",""
"Belarus","2009","Thousand hectolitres","3225",""
"Belarus","2008","Thousand hectolitres","3543",""
"Belarus","2007","Thousand hectolitres","3638",""
"Belarus","2006","Thousand hectolitres","3381",""
"Belarus","2005","Thousand hectolitres","2916",""
"Belarus","2004","Thousand hectolitres","2534",""
"Belarus","2003","Thousand hectolitres","2479",""
"Belarus","2002","Thousand hectolitres","2348",""
"Belarus","2001","Thousand hectolitres","1957",""
"Belarus","2000","Thousand hectolitres","1867",""
"Belarus","1999","Thousand hectolitres","1870",""
"Belarus","1998","Thousand hectolitres","2196",""
"Belarus","1997","Thousand hectolitres","2031",""
"Belarus","1996","Thousand hectolitres","1627",""
"Belarus","1995","Thousand hectolitres","1264",""
"Belgium","2003","Thousand hectolitres","12204.9","4"
"Belgium","2002","Thousand hectolitres","13505.8","4"
"Belgium","2001","Thousand hectolitres","13706.9","4"
"Belgium","2000","Thousand hectolitres","10079.9","4"
"Belgium","1999","Thousand hectolitres","9905.2","4"
"Belgium","1998","Thousand hectolitres","8282","4"
"Belgium","1997","Thousand hectolitres","10299",""
"Belgium","1996","Thousand hectolitres","9267",""
"Belgium","1995","Thousand hectolitres","9470",""
"Benin","1999","Thousand hectolitres","193.624","5"
"Benin","1998","Thousand hectolitres","218.962","5"
"Benin","1997","Thousand hectolitres","219.381","5"
"Benin","1996","Thousand hectolitres","176.454","5"
"Benin","1995","Thousand hectolitres","165.29","5"
"Bolivia (Plurinational State of)","2012","Mil. USD","430.361417556431",""
"Bolivia (Plurinational State of)","1999","Mil. USD","102.023114343022",""
"Bolivia (Plurinational State of)","1999","Thousand hectolitres","206",""
"Bolivia (Plurinational State of)","1998","Mil. USD","114.334801335721",""
"Bolivia (Plurinational State of)","1998","Thousand hectolitres","362",""
"Bolivia (Plurinational State of)","1997","Mil. USD","96.6834837140035",""
"Bolivia (Plurinational State of)","1997","Thousand hectolitres","300",""
"Bolivia (Plurinational State of)","1996","Mil. USD","80.5972869849668",""
"Bolivia (Plurinational State of)","1996","Thousand hectolitres","243",""
"Bolivia (Plurinational State of)","1995","Mil. USD","62.0789145217094",""
"Bolivia (Plurinational State of)","1995","Thousand hectolitres","191",""
"Bosnia and Herzegovina","2003","Thousand hectolitres","107.483","6"
"Bosnia and Herzegovina","2002","Thousand hectolitres","98.62","6"
"Bosnia and Herzegovina","2001","Thousand hectolitres","91.512","6"
"Bosnia and Herzegovina","2000","Thousand hectolitres","101.323","6"
"Bosnia and Herzegovina","1999","Thousand hectolitres","174.441",""
"Bosnia and Herzegovina","1998","Thousand hectolitres","188.919",""
"Bosnia and Herzegovina","1997","Thousand hectolitres","152.432",""
"Bosnia and Herzegovina","1996","Thousand hectolitres","110.573",""
"Botswana","2003","Thousand hectolitres","405",""
"Botswana","2002","Thousand hectolitres","389",""
"Botswana","2001","Thousand hectolitres","431",""
"Botswana","2000","Thousand hectolitres","356",""
"Botswana","1999","Thousand hectolitres","410",""
"Botswana","1998","Thousand hectolitres","411",""
"Botswana","1997","Thousand hectolitres","348",""
"Botswana","1996","Thousand hectolitres","308",""
"Botswana","1995","Thousand hectolitres","293",""
"Brazil","2013","Mil. USD","8413.92434426289",""
"Brazil","2013","Thousand hectolitres","162496.46494",""
"Brazil","2012","Mil. USD","9561.98990072407",""
"Brazil","2012","Thousand hectolitres","179059.52485",""
"Brazil","2011","Mil. USD","10043.4008549016",""
"Brazil","2011","Thousand hectolitres","169794.82404",""
"Brazil","2010","Mil. USD","8848.91692657628",""
"Brazil","2010","Thousand hectolitres","169821.4712",""
"Brazil","2009","Mil. USD","6480.0121529873",""
"Brazil","2009","Thousand hectolitres","145683.69688",""
"Brazil","2008","Mil. USD","5974.43402159488",""
"Brazil","2008","Thousand hectolitres","146877.40566",""
"Brazil","2007","Mil. USD","4727.33231276242",""
"Brazil","2007","Thousand hectolitres","130517.97623",""
"Brazil","2006","Mil. USD","3596.2699905608",""
"Brazil","2006","Thousand hectolitres","119189.28506",""
"Brazil","2005","Mil. USD","2890.168471479",""
"Brazil","2005","Thousand hectolitres","106964.62355",""
"Brazil","2004","Mil. USD","2046.04296210555",""
"Brazil","2004","Thousand hectolitres","94091.93856",""
"Brazil","2003","Mil. USD","1653.52110137536",""
"Brazil","2003","Thousand hectolitres","86617.82645",""
"Brazil","2002","Mil. USD","1655.21635691656",""
"Brazil","2002","Thousand hectolitres","94537.74941",""
"Brazil","2001","Mil. USD","1725.7079149598",""
"Brazil","2001","Thousand hectolitres","86742.40907",""
"Brazil","2000","Mil. USD","2135.23676782762",""
"Brazil","2000","Thousand hectolitres","88065.7",""
"Brazil","1999","Thousand hectolitres","54783",""
"Brazil","1998","Thousand hectolitres","56499",""
"Brazil","1997","Thousand hectolitres","54602",""
"Brazil","1996","Thousand hectolitres","50289",""
"Brazil","1995","Thousand hectolitres","50985",""
"Bulgaria","2013","Mil. USD","219.196054873844",""
"Bulgaria","2013","Thousand hectolitres","5154",""
"Bulgaria","2012","Mil. USD","216.812847801448",""
"Bulgaria","2012","Thousand hectolitres","5197",""
"Bulgaria","2011","Mil. USD","222.544801134543",""
"Bulgaria","2011","Thousand hectolitres","4832",""
"Bulgaria","2010","Mil. USD","208.475522739964",""
"Bulgaria","2010","Thousand hectolitres","4852",""
"Bulgaria","2009","Mil. USD","243.834529007185",""
"Bulgaria","2009","Thousand hectolitres","5184",""
"Bulgaria","2008","Mil. USD","272.9754322111",""
"Bulgaria","2008","Thousand hectolitres","5299",""
"Bulgaria","2007","Mil. USD","213.428501452014",""
"Bulgaria","2007","Thousand hectolitres","4493",""
"Bulgaria","2006","Mil. USD","156.483817179015",""
"Bulgaria","2006","Thousand hectolitres","3559",""
"Bulgaria","2005","Mil. USD","135.312552939184",""
"Bulgaria","2005","Thousand hectolitres","3559",""
"Bulgaria","2004","Mil. USD","126.340469471238",""
"Bulgaria","2004","Thousand hectolitres","3149",""
"Bulgaria","2003","Mil. USD","113.695279337374",""
"Bulgaria","2003","Thousand hectolitres","3030",""
"Bulgaria","2002","Mil. USD","77.5165806040034",""
"Bulgaria","2002","Thousand hectolitres","2766",""
"Bulgaria","2001","Mil. USD","74.6095016497245",""
"Bulgaria","2001","Thousand hectolitres","2679",""
"Bulgaria","2000","Mil. USD","73.9423767528935",""
"Bulgaria","2000","Thousand hectolitres","2498",""
"Bulgaria","1999","Mil. USD","75.4826062096695",""
"Bulgaria","1999","Thousand hectolitres","2331",""
"Bulgaria","1998","Mil. USD","73.2805347396128",""
"Bulgaria","1998","Thousand hectolitres","2354",""
"Bulgaria","1997","Thousand hectolitres","2219",""
"Bulgaria","1996","Thousand hectolitres","3722",""
"Bulgaria","1995","Thousand hectolitres","5401",""
"Burundi","2009","Thousand hectolitres","287.063",""
"Burundi","2008","Thousand hectolitres","285",""
"Burundi","2007","Thousand hectolitres","285",""
"Burundi","2006","Thousand hectolitres","257.722",""
"Burundi","2005","Thousand hectolitres","143.574",""
"Burundi","2004","Thousand hectolitres","119.578",""
"Burundi","2003","Thousand hectolitres","121.1",""
"Burundi","2002","Thousand hectolitres","111.3",""
"Burundi","2001","Thousand hectolitres","94.4",""
"Burundi","2000","Thousand hectolitres","119.9",""
"Burundi","1999","Thousand hectolitres","127",""
"Burundi","1998","Thousand hectolitres","143.5",""
"Burundi","1997","Thousand hectolitres","146.6",""
"Burundi","1996","Thousand hectolitres","179.1",""
"Burundi","1995","Thousand hectolitres","219.7",""
"Cabo Verde","1995","Thousand hectolitres","1",""
"Cameroon","2009","Thousand hectolitres","1652.24",""
"Cameroon","2008","Thousand hectolitres","1546.157",""
"Cameroon","2007","Thousand hectolitres","1594.623",""
"Cameroon","2006","Thousand hectolitres","1443",""
"Cameroon","2005","Thousand hectolitres","1582",""
"Cameroon","2004","Thousand hectolitres","1877",""
"Cameroon","2003","Thousand hectolitres","1932",""
"Cameroon","2002","Thousand hectolitres","1804",""
"Cameroon","2001","Thousand hectolitres","1614",""
"Cameroon","2000","Thousand hectolitres","1451",""
"Cameroon","1999","Thousand hectolitres","1466",""
"Cameroon","1995","Thousand hectolitres","675.748",""
"Canada","2003","Mil. USD","2240.38847008972",""
"Canada","2002","Mil. USD","1823.33943293851",""
"Canada","1998","Mil. USD","1876.89200444658",""
"Canada","1997","Mil. USD","1751.67615585541",""
"Canada","1996","Mil. USD","1694.28210653958",""
"Canada","1995","Mil. USD","1623.60368904792",""
"Central African Republic","1995","Thousand hectolitres","59",""
"Chad","1995","Thousand hectolitres","27",""
"Chile","2012","Mil. USD","954.874207649204",""
"Chile","2012","Thousand hectolitres","14946.26",""
"Chile","2011","Mil. USD","1976.56919947022",""
"Chile","2011","Thousand hectolitres","21047.206",""
"Chile","2010","Mil. USD","1622.10554386011",""
"Chile","2010","Thousand hectolitres","20402.31255",""
"Chile","2009","Mil. USD","1263.09714871036",""
"Chile","2009","Thousand hectolitres","19314.33",""
"Chile","2008","Mil. USD","1326.68757947552",""
"Chile","2008","Thousand hectolitres","19744.402",""
"Chile","2007","Mil. USD","1063.84259717971",""
"Chile","2007","Thousand hectolitres","16869.83467",""
"Chile","2006","Mil. USD","241.112585148287",""
"Chile","2006","Thousand hectolitres","107.424",""
"Chile","2005","Mil. USD","188.04006908335",""
"Chile","2005","Thousand hectolitres","43.794",""
"Chile","2004","Mil. USD","170.415524232694",""
"Chile","2004","Thousand hectolitres","41.926",""
"Chile","2003","Mil. USD","154.598778019321",""
"Chile","2003","Thousand hectolitres","40.535",""
"Chile","2002","Mil. USD","159.062255760239",""
"Chile","2002","Thousand hectolitres","41.641",""
"Chile","2001","Mil. USD","203.852265968086",""
"Chile","2001","Thousand hectolitres","307.688",""
"Chile","2000","Mil. USD","14.6572983992402",""
"Chile","2000","Thousand hectolitres","304.81",""
"Chile","1999","Mil. USD","19.1478179685913",""
"Chile","1999","Thousand hectolitres","427.714",""
"Chile","1998","Mil. USD","21.8346989653206",""
"Chile","1998","Thousand hectolitres","494.561",""
"China","2003","Thousand hectolitres","23744",""
"China","2002","Thousand hectolitres","20249",""
"China","2001","Thousand hectolitres","16737",""
"China","2000","Thousand hectolitres","14908",""
"China","1999","Thousand hectolitres","12194",""
"China","1998","Thousand hectolitres","9589",""
"China","1997","Thousand hectolitres","10501",""
"China","1996","Thousand hectolitres","8831",""
"China, Hong Kong Special Administrative Region","2009","Mil. USD","181.584803431483",""
"China, Hong Kong Special Administrative Region","2005","Mil. USD","137.142122406995",""
"China, Hong Kong Special Administrative Region","2005","Thousand hectolitres","1532.1",""
"China, Hong Kong Special Administrative Region","2004","Mil. USD","118.977914740627",""
"China, Hong Kong Special Administrative Region","2004","Thousand hectolitres","1414.96",""
"China, Hong Kong Special Administrative Region","2003","Mil. USD","122.965293607731",""
"China, Hong Kong Special Administrative Region","2003","Thousand hectolitres","1406.7",""
"China, Hong Kong Special Administrative Region","2002","Mil. USD","134.839240492803",""
"China, Hong Kong Special Administrative Region","2002","Thousand hectolitres","1473.48",""
"China, Hong Kong Special Administrative Region","2001","Mil. USD","202.545279692258",""
"China, Hong Kong Special Administrative Region","2001","Thousand hectolitres","2093.6",""
"China, Hong Kong Special Administrative Region","2000","Mil. USD","255.776841294628",""
"China, Hong Kong Special Administrative Region","2000","Thousand hectolitres","2312.16",""
"China, Hong Kong Special Administrative Region","1999","Mil. USD","149.906542056075",""
"China, Hong Kong Special Administrative Region","1999","Thousand hectolitres","1298.31",""
"China, Hong Kong Special Administrative Region","1998","Mil. USD","156.545877087278",""
"China, Hong Kong Special Administrative Region","1998","Thousand hectolitres","1349.78",""
"China, Hong Kong Special Administrative Region","1997","Mil. USD","334.896937732092",""
"China, Hong Kong Special Administrative Region","1997","Thousand hectolitres","3613.45",""
"China, Hong Kong Special Administrative Region","1996","Mil. USD","325.991355555184",""
"China, Hong Kong Special Administrative Region","1996","Thousand hectolitres","3356.23",""
"China, Hong Kong Special Administrative Region","1995","Thousand hectolitres","3273",""
"China, Macao Special Administrative Region","2003","Thousand metric tons","6",""
"China, Macao Special Administrative Region","2002","Thousand metric tons","6",""
"China, Macao Special Administrative Region","2001","Mil. USD","1.49374494305097",""
"China, Macao Special Administrative Region","2001","Thousand metric tons","22",""
"China, Macao Special Administrative Region","2000","Mil. USD","6.85281401462764",""
"China, Macao Special Administrative Region","2000","Thousand metric tons","98",""
"China, Macao Special Administrative Region","1999","Mil. USD","7.25739346959715",""
"China, Macao Special Administrative Region","1999","Thousand hectolitres","101",""
"China, Macao Special Administrative Region","1998","Mil. USD","8.52262045512464",""
"China, Macao Special Administrative Region","1998","Thousand hectolitres","109",""
"China, Macao Special Administrative Region","1997","Mil. USD","8.77710846520764",""
"China, Macao Special Administrative Region","1997","Thousand hectolitres","102",""
"China, Macao Special Administrative Region","1996","Mil. USD","9.03795942960434",""
"China, Macao Special Administrative Region","1996","Thousand hectolitres","105",""
"China, Macao Special Administrative Region","1995","Mil. USD","9.2874302789053",""
"China, Macao Special Administrative Region","1995","Thousand hectolitres","106",""
"Colombia","1999","Thousand hectolitres","18325",""
"Colombia","1998","Thousand hectolitres","23943",""
"Colombia","1997","Thousand hectolitres","25924",""
"Colombia","1995","Thousand hectolitres","24427.357",""
"Congo","2004","Mil. USD","38.6022835425243",""
"Congo","2004","Thousand hectolitres","435.7",""
"Congo","2003","Mil. USD","35.2391413277638",""
"Congo","2003","Thousand hectolitres","438",""
"Congo","2002","Mil. USD","29.4854344643259",""
"Congo","2002","Thousand hectolitres","435",""
"Congo","2001","Mil. USD","23.3630291380649",""
"Congo","2001","Thousand hectolitres","398",""
"Congo","2000","Mil. USD","19.9669574823466",""
"Congo","2000","Thousand hectolitres","289.7",""
"Congo","1999","Mil. USD","15.5091984121983",""
"Congo","1999","Thousand hectolitres","200.4",""
"Congo","1998","Mil. USD","16.6352580381634",""
"Congo","1998","Thousand hectolitres","195.1",""
"Congo","1997","Mil. USD","12.3802966923967",""
"Congo","1997","Thousand hectolitres","165.2",""
"Congo","1996","Mil. USD","23.0474909360106",""
"Congo","1996","Thousand hectolitres","296.5",""
"Congo","1995","Mil. USD","17.2914499017302",""
"Congo","1995","Thousand hectolitres","217",""
"Croatia","2013","Thousand hectolitres","2786",""
"Croatia","2012","Thousand hectolitres","2878",""
"Croatia","2011","Thousand hectolitres","2965",""
"Croatia","2010","Thousand hectolitres","3172",""
"Croatia","2009","Thousand hectolitres","3055",""
"Croatia","2008","Thousand hectolitres","3880",""
"Croatia","2007","Thousand hectolitres","2803",""
"Croatia","2006","Thousand hectolitres","2655",""
"Croatia","2005","Thousand hectolitres","2416",""
"Croatia","2004","Thousand hectolitres","2409",""
"Croatia","2003","Thousand hectolitres","2238",""
"Croatia","2002","Thousand hectolitres","1948",""
"Croatia","2001","Thousand hectolitres","1781",""
"Croatia","2000","Thousand hectolitres","1471",""
"Croatia","1999","Thousand hectolitres","1850",""
"Croatia","1998","Thousand hectolitres","2098",""
"Croatia","1997","Thousand hectolitres","1739",""
"Croatia","1996","Thousand hectolitres","1667",""
"Croatia","1995","Thousand hectolitres","1397",""
"Cuba","2012","Thousand hectolitres","3773",""
"Cuba","2011","Thousand hectolitres","3781",""
"Cuba","2010","Thousand hectolitres","3670",""
"Cuba","2009","Thousand hectolitres","3748",""
"Cuba","2008","Thousand hectolitres","3713",""
"Cuba","2007","Thousand hectolitres","3506",""
"Cuba","2006","Thousand hectolitres","3442",""
"Cuba","2005","Thousand hectolitres","3187",""
"Cuba","2004","Thousand hectolitres","3232",""
"Cuba","2003","Thousand hectolitres","2973",""
"Cuba","2002","Thousand hectolitres","3084",""
"Cuba","2001","Thousand hectolitres","2873",""
"Cuba","2000","Thousand hectolitres","2842",""
"Cuba","1999","Thousand hectolitres","2743",""
"Cuba","1998","Thousand hectolitres","2555",""
"Cuba","1997","Thousand hectolitres","2097",""
"Cuba","1996","Thousand hectolitres","1938",""
"Cuba","1995","Thousand hectolitres","1941",""
"Cyprus","2012","Mil. USD","56.4311455949026",""
"Cyprus","2012","Thousand hectolitres","355.52",""
"Cyprus","2011","Mil. USD","86.8082941235642",""
"Cyprus","2011","Thousand hectolitres","546.14",""
"Cyprus","2010","Mil. USD","82.0997476198404",""
"Cyprus","2010","Thousand hectolitres","579.33",""
"Cyprus","2009","Mil. USD","88.8818367638411",""
"Cyprus","2009","Thousand hectolitres","593.99",""
"Cyprus","2008","Mil. USD","97.4124263065508",""
"Cyprus","2008","Thousand hectolitres","628.89",""
"Cyprus","2007","Mil. USD","91.522440598416",""
"Cyprus","2007","Thousand hectolitres","624.65",""
"Cyprus","2006","Mil. USD","82.8038342430935",""
"Cyprus","2006","Thousand hectolitres","582.69",""
"Cyprus","2005","Mil. USD","88.3486439393938",""
"Cyprus","2005","Thousand hectolitres","666.13",""
"Cyprus","2004","Mil. USD","87.4945618461977",""
"Cyprus","2004","Thousand hectolitres","605.32",""
"Cyprus","2003","Mil. USD","81.1683195268974",""
"Cyprus","2003","Thousand hectolitres","620.78",""
"Cyprus","2002","Mil. USD","67.1404721019632",""
"Cyprus","2002","Thousand hectolitres","623.46",""
"Cyprus","2001","Mil. USD","60.6430942497559",""
"Cyprus","2001","Thousand hectolitres","626.52",""
"Cyprus","2000","Mil. USD","51.4131286690932",""
"Cyprus","2000","Thousand hectolitres","609.2",""
"Cyprus","1999","Mil. USD","58.9375312817854",""
"Cyprus","1999","Thousand hectolitres","600.2",""
"Cyprus","1998","Thousand hectolitres","593",""
"Cyprus","1997","Thousand hectolitres","583",""
"Cyprus","1996","Thousand hectolitres","575",""
"Cyprus","1995","Thousand hectolitres","569",""
"Czech Republic","2009","Mil. USD","807.690290090752",""
"Czech Republic","2009","Thousand hectolitres","18397",""
"Czech Republic","2008","Mil. USD","881.167626671872",""
"Czech Republic","2008","Thousand hectolitres","18067",""
"Czech Republic","2007","Mil. USD","499.269065882623",""
"Czech Republic","2007","Thousand hectolitres","13545",""
"Czech Republic","2006","Mil. USD","590.911940755385",""
"Czech Republic","2006","Thousand hectolitres","20010",""
"Czech Republic","2005","Mil. USD","540.709383663374",""
"Czech Republic","2005","Thousand hectolitres","17016",""
"Czech Republic","2004","Mil. USD","467.747740736778",""
"Czech Republic","2004","Thousand hectolitres","15513",""
"Czech Republic","2003","Mil. USD","353.539650466163",""
"Czech Republic","2003","Thousand hectolitres","16196",""
"Czech Republic","2002","Mil. USD","319.104239649209",""
"Czech Republic","2002","Thousand hectolitres","16424",""
"Czech Republic","2001","Mil. USD","259.863669727754",""
"Czech Republic","2001","Thousand hectolitres","16017",""
"Czech Republic","2000","Thousand hectolitres","15082",""
"Czech Republic","1999","Thousand hectolitres","12850",""
"Czech Republic","1998","Thousand hectolitres","10421",""
"Czech Republic","1997","Thousand hectolitres","9961",""
"Czech Republic","1996","Thousand hectolitres","9092",""
"Czech Republic","1995","Thousand hectolitres","7768",""
"Denmark","2013","Mil. USD","1048.73542091375",""
"Denmark","2013","Thousand hectolitres","7502.69",""
"Denmark","2012","Mil. USD","942.83105920379",""
"Denmark","2012","Thousand hectolitres","6984.39",""
"Denmark","2011","Mil. USD","979.418064810706",""
"Denmark","2011","Thousand hectolitres","6937.72",""
"Denmark","2010","Mil. USD","844.601823410961",""
"Denmark","2010","Thousand hectolitres","6604.57",""
"Denmark","2009","Mil. USD","888.400569559648",""
"Denmark","2009","Thousand hectolitres","6440.25",""
"Denmark","2008","Mil. USD","946.561623810819",""
